#s	hn	av	tn	taivutus
jalava			10	
jalavakasvi				
jalka		D	9	
jalkaharppi				
jalkahiki				
jalkahoitaja				
jalkahoito				
jalkahoitola				
jalkaholvi				
-jalkainen			38	
jalkainvalidi				
jalkaisin			99	
jalkajakkara				
jalkajarru				
jalkakamppi				
jalkakylpy				
jalkakyykky				
jalkakäytävä				
jalkalamppu				
jalkaliike				
jalkalista				
jalkalukko				
jalkamaa				
jalkamarssi				
jalkamies				
jalkamylly				
jalkapallo				
jalkapalloilija				
jalkapalloilu				
jalkapallojoukkue				
jalkapallokenttä				
jalkapallo-ottelu				
jalkapallopeli				
jalkapallostadion				
jalkapari			5	
jalkapatikka		A	14	
jalkapeli				
jalkapohja				
jalkapumppu				
jalkapuoli				
jalkapuu				
jalkapöydänluu				
jalkapöytä				
jalkaraspi				
jalkaraudat				
jalkarengas				
jalkarätti				
jalkasieni				
jalkasilsa				
jalkaspray				
jalkastartti				
jalkaterä				
jalkatila				
jalkatuki				
jalkatyö				
jalkauttaa		C	53	
jalkautua		F	52	
jalkava			10	
jalkavaihde				
jalkavaihteisto				
jalkavaimo				
jalkavaiva				
jalkavaivainen				
jalkavika		D	9	
jalkavuus			40	
jalkaväenkenraali				
jalkaväensotilas				
jalkaväenupseeri				
jalkaväki				
jalkaväkidivisioona				
jalkaväkiosasto				
jalkeilla			99	
jalkeille			99	
jalkine			48	
jalkinekorjaamo				
jalkineliike				
jalkineteollisuus				
jalkinetyöntekijä				
jalkio			3	
jalkojenhoitaja				
jalkojenhoito				
jalkopää				
jalkoväli				
jallittaa		C	53	
jallitus			39	
jalo			1	
jaloangervo			50	
jalofasaani			50	
jalohaukka			50	
jaloitella		C	67	
jaloittelu			2	
jaloitteluaitaus				
jalokaasu			50	
jalokivi			50	
jalokivihioja			10	
jalokivihiomo				
jalokivikoru				
jalokivioppi				
jalokiviseppä				
jalokoralli			50	
jalokuoriainen			50	
jalokuusi			24	
jaloluonteinen				
jaloluontoinen				
jalometalli			50	
jalomielinen				
jalomielisesti			99	
jalomielisyys				
jalomuotoinen				
jalonnus			39	
jalonnusoksa				
jalontaa		J	54	
jalopeura			50	
jalopiirteinen				
jalopuinen				
jalopuu			50	
jalopähkinä			50	
jalorotuinen				
jaloruusu			50	
jalostaa			53	
jalostamo			2	
jaloste			48	
jalostua			52	
jalostus			39	
jalostusaste				
jalostuslaitos				
jalostustehdas				
jalostustuote				
jalosukuinen				
jalosukuisuus				
jalosydäminen				
jalosydämisyys				
jaloteräs			50	
jalus			39	
jalusköysi				
jalussolmu				
jalusta			13	
jalustaa			53	
jalustin			33	
jalustinhihna				
jamaan			99	
jamassa			99	
jambi			5	
jamboree			20	
jamit			5	
jammailla			67	
jammata			73	
jam session			5	
jamssi			5	
jana			9	
janitsaari			5	
jankata		A	73	
jankko		A	1	
jankkoaura			9	
jankkuri			6	
jankuttaa		C	53	
jankutus			39	
jannu			1	
jano			1	
janoinen			38	
janojuoma				
janontunne				
janota			74	
janottaa		C	53	
janssoninkiusaus				
jaoke		A	48	
jaokkeeton		C	34	
jaokkeinen			38	
jaollinen			38	
jaollisuus			40	
jaos			39	
jaosto			2	
jaostopäällikkö				
jaotella		C	67	
jaoton		C	34	
jaottaa		C	53	
jaottelu			2	
jaotus			39	
japani			5	
japanilainen			38	
japanin kieli				
japaninkielinen				
japaninlakka		A	9	
japaninmispeli				
japaninpaperi				
japanitar		C	32	
japsi			5	
jarru			1	
jarrukenkä				
jarrumies				
jarrupoljin				
jarruraketti				
jarrurumpu				
jarrusiiveke				
jarrusukka				
jarrutehostin				
jarruttaa		C	53	
jarrutus			39	
jarrutusalue				
jarrutusjälki				
jarrutuslakko				
jarrutusmatka				
jarrutuspolitiikka				
jarrutuspuhe				
jarruuntua		J	52	
jarruvalo				
jarruvarjo				
jasmiini			5	
jasmiiniriisi			5	
jasmike		A	48	
jaspis			39	
jassoo			99	
jata		F	9	
jatkaa			56	
jatkaja			10	
jatkavuus			40	
jatke			48	
jatko			1	
jatkoaika		D	9	
jatkohoito				
jatkojalostus				
jatkojohto				
jatkokertomus				
jatkokohta		F	10	
jatkokouluttaa				
jatkokoulutus				
jatkokurssi				
jatkokäsittely				
jatkolevy				
jatko-opinnot				
jatko-opiskelija				
jatko-opiskelu				
jatko-osa				
jatkopaikka				
jatkopistorasia				
jatkoromaani				
jatkos			39	
jatkosota				
jatkotutkinto				
jatkoyhteys				
jatkua			52	
jatkumo			2	
jatkuva			10	
jatkuvajuoninen			38	
jatkuvalämmitteinen				
jatkuvasti			99	
jatkuvatoiminen				
jatkuvuus			40	
jatsari			6	
jatsi			5	
jauhaa			56	
jauhaantua		J	52	
jauhattaa		C	53	
jauhatus			39	
jauhautua		F	52	
jauhe			48	
jauheliha				
jauhelihapihvi				
jauhemaalaus			39	
jauhemainen			38	
jauhemaksapihvi				
jauhemetallurgia				
jauhennin		J	33	
jauhentaa		J	54	
jauhentua		J	52	
jauhesammutin				
jauhiainen			38	
jauhin			33	
jauhinkivi				
jauho			1	
jauhoinen			38	
jauhokoisa			10	
jauhomainen			38	
jauhomato				
jauhonpöly				
jauhopeukalo				
jauhopukki				
jauhopunkki		A	5	
jauhopussi				
jauhosavikka				
jauhosieni				
jauhosäkki				
jauhottaa		C	53	
jazz			5	
jazzfestivaali				
jazzklubi				
jazzlaulaja				
jazzmessu				
jazzmusiikki				
jazzmuusikko				
jazzorkesteri				
jazztanssi				
jeeppi		B	5	
jeesata			73	
jees-mies				
jeesus			39	
jeesustella			67	
jeesustelu			2	
jeeveli			6	
Jehovan todistaja				
jehu			1	
jekku		A	1	
jekkuilla			67	
jellona			11	
jelpata		B	73	
jelppiä		B	61	
jemma			9	
jemmata			73	
jengi			5	
jengiläinen			38	
jenginuori				
jengityö				
jengityöntekijä				
jengiytyä		F	52	
jeni			5	
jenka		G	9	
jenkka		A	9	
jenkki		A	5	
jenkkifutis				
jenkkikaappi				
jenkkikassi				
jenkkilä			12	
jenkkiläinen			38	
jenkkirassi				
jenkkirauta				
jenkkitukka				
jep			99	
jepari			6	
jeppe		B	8	
jeremiadi			5	
jermu			1	
jerrykannu				
jersey			21	
jerseyrotu				
jessus			99	
jestas			99	
jesuiitta		C	9	
jesuiittaluostari				
jesuiittamainen			38	
jesuiittamunkki				
jesuiittaveljestö				
jet lag			5	
jet set			5	
jetsetti		C	5	
jetsulleen			99	
jetti		C	5	
jiddi			5	
jiddiš			5	
jiirata			73	
jiiri			5	
jippo		B	1	
jippoilla			67	
jippoilu			2	
jiujitsu			1	
jive			8	
jo			99	
jobbari			6	
jobinposti			5	
jockey			21	
jodi			5	
jodidi			5	
jodioida			62	
jodipitoinen				
jodisprii				
jodisuola				
jodittaa		C	53	
jodlata			73	
jodlaus			39	
joenhaara				
joenmutka				
joenniska				
joenpolvi				
joenranta				
joensuu				
joenvarsi				
jogurtti		C	5	
jogurttijäätelö				
johanneksenleipä				
johanneksenleipäpuu				
johanniitta		C	9	
johdannainen			38	
johdannaismarkkinat				
johdannaissopimus				
johdanto		J	1	
johdantokappale				
johdantokurssi				
johdantoluku				
johdate		C	48	
johdatella		C	67	
johdatin		C	33	
johdattaa		C	53	
johdatus			39	
johde		F	48	
johdeaita				
johdin		F	33	
johdinauto				
johdonmukainen				
johdonmukaisesti				
johdonmukaistaa			53	
johdonmukaisuus				
johdos			39	
johdosta			99	
johdottaa		C	53	
johdotus			39	
johonkin			99	
johtaa		F	53	
johtaja			10	
johtajalääkäri				
johtajankyky				
johtajanominaisuus				
johtajantauti				
johtajantoimi				
johtajanvaihdos				
johtajapersoonallisuus				
johtajatar		C	32	
johtajavaltainen				
johtajisto			1	
johtajuus			40	
johtamistaito				
johtava			10	
johtavuus			40	
johteinen			38	
johto		F	1	
johtoaihe				
johtoajatus				
johtoasema				
johtoelin				
johtohahmo				
johtohenkilö				
-johtoinen			38	
johtojänne				
johtokunta				
johtokyky				
johtolanka				
johtolause				
johtoloisto				
johtomaali			5	
johtomies				
johtomotiivi				
johto-oppi				
johtopaikka				
johtopiste				
johtoporras				
johtoputki				
johtopuudutus				
johtopääte				
johtopäätös				
johtosääntö				
johtoteema				
johtotroikka				
johtotähti				
johtua		F	52	
joiata		D	73	
joikata		A	73	
joikaus			39	
joiku		D	1	
joikua		D	52	
joint venture -yritys				
joisto			1	
joiunta		J	9	
jojo			1	
jojolaihduttaminen			38	
joka	1		99	
joka	2		101	
joka-aamuinen				
joka ainoa				
joka ikinen				
jokailtainen				
jokainen			38	
jok'ainoa				
jokakesäinen				
jokamiehenoikeus				
jokamies				
jokapaikanhöylä				
jokapuolinen				
jokapäiväinen				
jokaviikkoinen				
jokavuotinen				
jokaöinen				
jokellella		I	67	
jokellus			39	
jokeltaa		I	54	
jokeri			6	
jokerikysymys				
jokerilyöjä				
jokeripelaaja				
joki		D	7	
jokialue				
jokialus				
jokihelmisimpukka				
jokijärvi				
jokikala				
jokikalastus				
jok'ikinen				
jokilaakso				
jokilaiva				
jokiliete				
jokiliikenne				
jokin			101	
jokipato				
jokipenger				
jokiranta				
jokirapu				
jokisatama				
jokisimpukka				
jokisuu				
jokitörmä				
jokiuoma				
jokivarsi				
jokiverkko				
jokiväylä				
jokiäyräs				
joko			99	
jokseenkin			99	
joku			101	
jokunen			38	
jolkutella		C	67	
jolkuttaa		C	53	
jolla			10	
jollainen			38	
jollei			99	
jolloin			99	
jolloinkin			99	
jollottaa		C	53	
jolma			10	
jolppi		B	5	
joltinen			38	
joltinenkin			38	
joltisestikin			99	
jommoinen			38	
jommoinenkin			38	
jomottaa		C	53	
jompikumpi				
jonglööri			5	
jonkalainen			38	
jonkinasteinen				
jonkinlaatuinen				
jonkinlainen			38	
jonkinmoinen			38	
jonkinnäköinen				
jonkinvertainen				
jonkunlainen			38	
jonkunmoinen			38	
jonkunnäköinen				
jonne			99	
jonnekin			99	
jonninjoutava				
jono			1	
jonottaa		C	53	
jonotus			39	
jonotuslappu				
jonotuslippu				
jonotuslista				
jonotusnumero				
jonotuspuhelin				
jonotusääni				
jonouttaa		C	53	
jonovuoristo				
joo			99	
jooga			10	
joogata			73	
joogi			5	
jooli			5	
joonialainen			38	
jopa			99	
jopi			5	
jorata			73	
joriini			5	
jorina			12	
jorista			66	
joro			1	
jorottaa		C	53	
jorotus			39	
jorpakko		A	4	
jortsut			1	
jos			99	
joskaan			99	
joskin			99	
joskus			99	
jospa			99	
jossain			99	
jossakin			99	
jossitella		C	67	
jossittelu			2	
jostain			99	
jostakin			99	
jota			99	
jotakuinkin			99	
joten			99	
jotenkin			99	
jotenkuten				
jotensakin			99	
joteskin			99	
jotos			39	
jotta	1		99	
jotta-	2		99	
jouduttaa		C	53	
jouhea			15	
jouheasti			99	
jouheus			40	
jouhi			23	
jouhikangas		G	41	
jouhikannel				
jouhikantele				
jouhikko		A	4	
jouhimato				
jouhipatja				
jouhisorsa				
jouhivihvilä				
joukkio			3	
joukko		A	1	
joukkoanomus				
joukkoero				
joukkoeroaminen			38	
joukkoerottaminen			38	
joukkoesiintyminen			38	
joukkohauta				
joukkohautaus				
joukkohenki				
joukkohysteria				
joukkoilmiö				
joukkoirtisanominen			38	
joukkoirtisanoutuminen			38	
joukkojakelu				
joukkokirje				
joukkokohtaus				
joukkokuolema				
joukkokysely				
joukkolaina				
joukkoliike				
joukkoliikenne				
joukkoliikennekaista				
joukkoliikenneväline				
joukkolähetys				
joukkomajoitus				
joukkomielenosoitus				
joukkomurha				
joukkomurhaaja				
joukkomuutto				
joukko-opetus				
joukko-oppi				
joukko-osasto				
joukkopidätys				
joukkopsykologia				
joukkopsykoosi				
joukkoristiside				
joukkoruokailu				
joukkosidontapaikka				
joukkosielu				
joukkosiirto				
joukkosuggestio				
joukkotarkastus				
joukkotavara				
joukkotiedotus				
joukkotiedotusväline				
joukkotoiminta				
joukkotuho				
joukkotuhoase				
joukkotuhonta		J	9	
joukkotuotanto				
joukkotuote				
joukkotyöriita				
joukkotyöttömyys				
joukkovelkakirja				
joukkovelkakirjalaina				
joukkoviestin				
joukkoviestintä				
joukkoviihde				
joukkovoima				
joukkoyksikkö				
joukkue			48	
joukkuehenki				
-joukkueinen			38	
joukkuekilpailu				
joukkueluistelija				
joukkuemitali				
joukkuemäenlasku				
joukkuemäki				
joukkuepeli				
joukkuerangaistus				
joukkueurheilu				
joukkueurheilulaji				
joukoittain			99	
joule			8	
joulu			1	
jouluaamu				
jouluaatto				
jouluaattoilta				
jouluaika		D	9	
jouluapulainen				
jouluateria				
jouluevankeliumi				
jouluglögi				
jouluikkuna				
jouluilta				
jouluinen			38	
joulujuhla				
joulukaktus				
joulukala				
joulukalenteri				
joulukalkkuna				
joulukataja				
joulukatu				
joulukello				
joulukiire			48	
joulukinkku				
joulukirja				
joulukirkko				
joulukoriste				
joulukortti				
joulukuinen				
joulukukka				
joulukuu				
joulukuusenjalka				
joulukuusenkoriste				
joulukuusenkynttilä				
joulukuusi			24	
joulukynttilä				
joululahja				
joululahjapaketti				
joululaulu				
joululehti				
joululeikki				
joululiina				
joululoma				
joululyhde				
joulumarkkinat				
joulumerkki				
joulumyynti				
joulunaika		D	9	
joulunaluspäivä				
joulunalusviikko				
joulunpunainen				
joulunpyhä				
joulunumero				
joulunvietto				
joulunäytelmä				
jouluostos				
joulupaketti				
joulupaperi				
joulupata		F	9	
jouluporsas				
jouluposti			5	
joulupukki				
joulupuu				
joulupuuro				
joulupäivä				
joulupöytä				
jouluraha				
joulurauha				
jouluruno				
jouluruoka				
jouluruuhka				
jouluruusu				
joulusauna				
joulusesonki				
joulusiivous			39	
joulutodistus				
joulutonttu				
joulutorttu				
joulutunnelma				
joulutähti				
joulu-ukko				
jouluvalmistelut				
jouluviikko				
jouluvirsi				
jouluyö				
journalismi			5	
journalisti			5	
journalistiikka		A	9	
journalistinen			38	
jousenjänne				
jousenkaari				
jousi			26	
jousiammunta		J	9	
jousiampuja				
jousikoneisto				
jousikvartetti				
jousikvartetto				
jousikvintetti				
jousikvintetto				
jousimies				
-jousinen			38	
jousiorkesteri				
jousipatja				
jousipyssy				
jousisoitin				
jousisoittaja				
jousisto			2	
jousitrio				
jousittaa		C	53	
jousitus			39	
jousivaaka				
jousiyhtye				
jousiäes				
joustaa			53	
joustamaton		C	34	
joustava			10	
joustavasti			99	
joustavoida			62	
joustavoittaa		C	53	
joustavuus			40	
joustin			33	
joustinneule				
joustinneulos				
joustinpatja				
jousto			1	
joustoaika		D	9	
joustofrotee				
joustokangas		G	41	
joustokankainen			38	
joustolanka				
joustoliike				
jousto-ommel				
joustopiikkiäes				
joustopuskuri				
joustotunti				
joustotyö				
joustovara				
joutaa		F	53	
joutava			10	
joutavanpäiväinen				
jouten			99	
joutenolo				
joutessa			99	
joutessaan			99	
joutilaisuus			40	
joutilas			41	
joutoaika		D	9	
joutohetki				
joutokäynti				
joutomaa				
joutomies				
joutonäyttö				
joutopuhe				
joutoväki				
joutsen			32	
joutsenlaulu				
joutsenlisko				
joutua		F	52	
joutuin			99	
joutuisa			10	
joutuisasti			99	
joviaali			5	
joystick			5	
judata		F	73	
judo			1	
judogi			5	
judoka			11	
jugend			5	
jugendtalo				
jugendtyyli				
jugendtyylinen				
jugoslaavi			5	
jugoslavialainen			38	
jugurtti		C	5	
juhannus			39	
juhannusaatto				
juhannusilta				
juhannusjuhla				
juhannuskoivu				
juhannuskokko		A	1	
juhannuspyhä				
juhannuspäivä				
juhannusruis				
juhannusruusu				
juhannussalko				
juhannustaika				
juhannustanssit				
juhannustuli				
juhannusviikko				
juhannusyö				
juhla			10	
juhla-asu				
juhla-asuinen				
juhla-ateria				
juhlaesitelmä				
juhlahetki				
juhlahumu				
juhlahuoneisto				
juhlaillallinen				
juhlajulkaisu				
juhlajumalanpalvelus				
juhlakalu				
juhlakenkä				
juhlakirja				
juhlakonsertti				
juhlakulkue				
juhlaliputettu		C	1	
juhlaliputus				
juhlallinen			38	
juhlallisesti			99	
juhlallisuus			40	
juhlamenot				
juhlamerkki				
juhlamieli				
juhlamielinen				
juhlanumero				
juhlanäytäntö				
juhlapalvelu				
juhlapostimerkki				
juhlapuhe				
juhlapuku				
juhlapukuinen				
juhlapyhä				
juhlapäivä				
juhlapäivällinen				
juhlaraha				
juhlasaatto				
juhlasali				
juhlatilaisuus				
juhlatoimikunta				
juhlatunnelma				
juhlatuuli				
juhlava			10	
juhlavalaistu			1	
juhlavalaistus				
juhlavalmistelut				
juhlavasti			99	
juhlavieras				
juhlaviikko				
juhlavuosi				
juhlavuus			40	
juhlaväki				
juhlayleisö				
juhlia			61	
juhlija			12	
juhlinta		J	9	
juhlistaa			53	
juhta		F	10	
juippi		B	5	
juju			1	
jujuttaa		C	53	
jukeboksi			5	
jukebox			5	
jukka		A	10	
jukolaut			99	
jukolauta			99	
jukoliste			99	
jukra			99	
juksata			73	
juku			99	
jukuripäinen				
jukuripää				
jukurtti		C	5	
juliaaninen			38	
julistaa			53	
julistaja			10	
julistautua		F	52	
juliste			48	
julistegraafikko				
julistekangas		G	41	
julistemainonta				
julistenauha				
julistetaide				
julistetaiteilija				
julistus			39	
julistuskirja				
juljeta		L	74	
julkaisematon		C	34	
julkaisemisvuosi				
julkaisija			12	
julkaista			66	
julkaisu			2	
julkaisujärjestelmä				
julkaisukelpoinen				
julkaisukielto				
julkaisukunto				
julkaisukynnys				
julkaisulupa				
julkaisuoikeus				
julkaisusarja				
julkaisutoiminta				
julkaisuvapaa				
julkaisuvuosi				
julkea			15	
julkeasti			99	
julkeus			40	
julki			99	
julkihuuto				
julkijumalaton				
julkilausua				
julkilausuma				
julkimo			2	
julkinen			38	
julkipanna			67	
julkipano				
julkipuhunta				
julkisesti			99	
julkishallinnollinen				
julkishallinto				
julkisivu				
julkisivuelementti				
julkisivulautakunta				
julkisivutiili				
julkisoikeudellinen				
julkisoikeus				
julkissektori				
julkistaa			53	
julkistalous				
julkistamistilaisuus				
julkisuus			40	
julkisuusmylly				
julkisuusperiaate				
julkisyhteisö				
julkitulo				
julkituoda				
julkkis			39	
julkku		A	1	
julli			5	
jullikka		A	14	
julma			10	
julmasti			99	
julmettu		C	1	
julmetusti			99	
julmistella			67	
julmistua			52	
julmuri			6	
julmuus			40	
jumala			10	
jumalaapelkäävä			10	
jumalainen			38	
jumalaisesti			99	
jumalaistaru				
jumalaistarusto				
jumalakeskeinen				
jumalakuva				
jumalallinen			38	
jumalanilma				
jumalankieltäjä				
jumalankieltäminen			38	
jumalankuva				
jumalanluoma			10	
jumalanpalvelus				
jumalanpalvelusjärjestys				
jumalanpelko				
jumalanpilkka				
jumalansana				
jumalanvilja				
jumalanäiti				
jumalasuhde				
jumalatar		C	32	
jumalaton		C	34	
jumalattomasti			99	
jumalaut			99	
jumalauta			99	
jumalinen			38	
jumalisesti			99	
jumaliste			99	
jumalisuus			40	
jumaloida			62	
jumalointi		J	5	
jumalolento				
jumaluus			40	
jumaluusopillinen				
jumaluusoppi				
jumbo			1	
jumbofinaali				
jumbojetti				
jumbokoko		D	1	
jumbosija				
jumi			5	
jumiin			99	
jumiintua		J	52	
jumissa			99	
jumittaa		C	53	
jumittua		C	52	
jumiuttaa		C	53	
jumiutua		F	52	
jumpata		B	73	
jumppa		B	10	
jumppavideo				
jumpperi			6	
jumputtaa		C	53	
jumputus			39	
juna			10	
junaemäntä				
junahenkilöstö				
junailija			12	
junailla			67	
junalautta				
junaliikenne				
junalippu				
junamatka				
junamies				
junanlähettäjä				
junanrata				
junanvaihto				
junanvaunu				
junaonnettomuus				
junarata				
junasuorittaja				
junaturma				
junavaunu				
junavuoro				
junayhteys				
jungmanni			5	
junior			5	
juniori			6	
juniorijoukkue				
junioritoiminta				
junioriurheilu				
junk food			5	
junkkari			6	
junnata			73	
junnu			1	
juntata	1	C	73	
juntata	2	C	73	
juntta	1	C	10	
juntta	2	C	10	
junttapulla				
junttaus			39	
juntti		C	5	
juntturassa			99	
juoda			64	
juohea			15	
juoheasti			99	
juoheus			40	
juoheva			10	
juohevasti			99	
juohevuus			40	
juohtua		F	52	
juoksennella		J	67	
juoksete		C	48	
juoksettaa		C	53	
juoksettua		C	52	
juokseva			10	
juoksevasti			99	
juoksevuus			40	
juoksija			12	
juoksijahevonen				
juoksu			1	
juoksuaika		D	9	
juoksuaskel				
juoksuhauta				
juoksuhiekka				
-juoksuinen			38	
juoksujalka				
juoksujalkaa			99	
juoksujalkainen				
juoksukilpailu				
juoksuköysi				
juoksulanka				
juoksulankku				
juoksuleikki				
juoksulenkki				
juoksulista				
juoksumatto				
juoksumetri				
juoksunumero				
juoksupoika				
juoksupyörä				
juoksurata				
juoksusilmukka				
juoksusolmu				
juoksutarha				
juoksute		C	48	
juoksutin		C	33	
juoksuttaa		C	53	
juoksutulos				
juoksutunti				
juoksutus			39	
juoksutusmaha				
juoksutyttö				
juoksutyyli				
juoksuvaunut				
juolahtaa		F	53	
juolavehnä				
juolua			12	
juolukka		A	14	
juoma			10	
juoma-astia				
juomahimo				
juomakausi				
juomakierre				
juomalasi				
juomalaulu				
juomanlaskija				
juomaraha				
juomari			6	
juomaseura				
juomasuihku				
juomatapa				
juomavesi				
juomavesisäiliö				
juominen			38	
juomingit		G	5	
juomu			1	
juomuinen			38	
juomukondomi				
juonellinen			38	
juonellisesti			99	
juoni			26	
juonia			61	
juonikas		A	41	
juonikivilaji				
juonikkaasti			99	
juonikkuus			40	
juonimalmi				
juoninäytelmä				
juoniseloste				
juonitella		C	67	
juonittelija			12	
juonittelu			2	
juonne		J	48	
juontaa		J	54	
juontaja			10	
juonteikas		A	41	
juonti		J	5	
juonto		J	1	
juontoreki				
juontosakset				
juontovintturi				
juontua		J	52	
juopa		E	10	
juoponnapissa			99	
juoponnappiin			99	
juopotella		C	67	
juopottelu			2	
juoppo		B	1	
juoppohullu				
juoppohulluus				
juoppojuna				
juoppolalli			5	
juopporatti		C	5	
juopporenttu				
juoppous			40	
juopua		E	52	
juopumus			39	
juopumuspidätys				
juopumussakko				
juopunut			47	
juoru			1	
juoruakka				
juoruilla			67	
juoruilu			2	
juorukalenteri				
juorukello				
juorukki		A	5	
juorupalsta				
juoruta			74	
juorutoimittaja				
juoruämmä				
juosta			70	
juoste			48	
juotava			10	
juote		C	48	
juotemetalli				
juotikas		A	41	
juotin		C	33	
juotos			39	
juotoskolvi				
juotossauma				
juotostina				
juottaa		C	53	
juotto		C	1	
juottoallas				
juottola			12	
juottorehu				
juottotina				
juottovasikka				
juova			10	
juovainen			38	
juovakoodi				
juovaspektri				
juovikas		A	41	
juovittaa		C	53	
juovitus			39	
juovukkeeseen			99	
juovukkeessa			99	
juovuksiin			99	
juovuksissa			99	
juovuspäissä			99	
juovuspäissään				
juovuttaa		C	53	
jupakka		A	14	
jupina			12	
jupista			66	
juppi		B	5	
juppikulttuuri				
juppiutua		F	52	
jurakausi				
jurakerrostuma				
juridiikka		A	9	
juridinen			38	
juridisesti			99	
juristeria			12	
juristi			5	
jurnuttaa		C	53	
jurnutus			39	
juro			1	
juroa			52	
jurosti			99	
jurottaa		C	53	
jurous			40	
juroutua		F	52	
jurppia		B	61	
jurrata			73	
jurri			5	
jurrikka		A	14	
jury			1	
Jussi			5	
-jussi			5	
jussinparta				
jussipaita				
just			99	
justeerata			73	
justeeraus			39	
justeeri			6	
justiin			99	
justiinsa			99	
jutaa			99	
jutella		C	67	
jutku			1	
jutsku			1	
juttelu			2	
juttu		C	1	
juttusilla			99	
juttusille			99	
juttutuuli				
jutustaa			53	
jutustella			67	
jutustelu			2	
jututtaa		C	53	
juu			99	
juudas			39	
juukeli			6	
juupeli			6	
juurakko		A	4	
juurakkoinen			38	
juurakkopuhdistamo				
juurakkopuhdistus				
juurehtia		F	61	
juurekas		A	41	
juurenhaara				
juurenotto				
juures			39	
juuresharja				
juuresveitsi				
juureton		C	34	
juurettomuus			40	
juureva			10	
juurevuus			40	
juuri	1		26	
juuri	2		99	
juuria			61	
juuriartisokka				
juurieläin				
juuriharja				
juurihoitaa				
juurihoito				
juurihuntu				
juurijalkainen				
juurikalvo				
juurikanava				
juurikarva				
juurikas		A	41	
juurikassokeri				
juurikasvi				
juurikori				
juurikääpä				
juurilaho				
juurilauseke				
juurimato				
juurimatto				
juurimerkki				
juurimukula				
-juurinen			38	
juurinystyrä				
juuriosa				
juuripaakku				
juuripaikka				
juuripermanentti				
juuripuu				
juuriselleri				
juuristo			2	
juurittaa		C	53	
juuritäyte				
juuriverso				
juurivesa				
juurrettava			10	
juurruttaa		C	53	
juurrutus			39	
juurtaa		K	54	
juurta jaksaen			99	
juurta jaksain			99	
juurtua		K	52	
juurtumahapsi				
juusto			1	
juustoaine				
juustofondue				
juustofondyy				
juustohöylä				
juustohöylämenetelmä				
juustohöyläperiaate				
juustokakku				
juustokehä				
juustokeitto				
juustokohokas				
juustokupu				
juustola			12	
juustoleipä				
juustomaito				
juustomeijeri				
juustomestari				
juustomunakas				
juustonappi				
juustonjuoksete				
juustonjuoksute				
juustonpala				
juustopala				
juustopunkki		A	5	
juustoraaste				
juustosämpylä				
juustotahko				
juustotanko				
juustotarjotin				
juustotorttu				
juustottua		C	52	
juustouma			10	
juustouttaa		C	53	
juustoutua		F	52	
juustoutuma			10	
juustoveitsi				
juustoviipale				
juustovoileipä				
juutalainen			38	
juutalaiskirsikka				
juutalaiskortteli				
juutalaiskristitty				
juutalaislähetys				
juutalaissaksa				
juutalaissyntyinen				
juutalaisuus			40	
juutalaisvaino				
juutalaisvastainen				
juutalaisvastaisuus				
juutalaisviha				
juutalaisväestö				
juutas		C	41	
juutti	1	C	5	
juutti	2	C	5	
juuttikangas		G	41	
juuttimatto				
juuttisäkki				
juuttua		C	52	
jydätä		F	73	
jyhkeys			40	
jyhkeä			15	
jyhkeästi			99	
jykertää		K	54	
jykevyys			40	
jykevä			10	
jykeväleukainen				
jykevästi			99	
jykevätekoinen				
jylhetä			72	
jylhistyä			52	
jylhyys			40	
jylhä			10	
jylhästi			99	
jylinä			12	
jylistä			66	
jyllätä			73	
jyly			1	
jyminä			12	
jymistä			66	
jymistää			53	
jymy			1	
jymy-				
jymyjuttu				
jymymenestys				
jymypaukku				
jymyuutinen				
jymy-yllätys				
jymähdellä		F	67	
jymähdys			39	
jymähtää		F	53	
jymäys			39	
jymäytellä		C	67	
jymäyttää		C	53	
jynssätä			73	
jynssäys			39	
jyrinä			12	
jyristellä			67	
jyristä			66	
jyristää			53	
jyrisyttää		C	53	
jyrkentyä		J	52	
jyrkentää		J	54	
jyrketä		A	72	
jyrkistyä			52	
jyrkistää			53	
jyrkkyys			40	
jyrkkä		A	10	
jyrkkäkaarteinen				
jyrkkäkattoinen				
jyrkkäluonteinen				
jyrkkänousuinen				
jyrkkäotteinen				
jyrkkäpiirteinen				
jyrkkärantainen				
jyrkkärinteinen				
jyrkkäsanainen				
jyrkkäseinäinen				
jyrkkäsävyinen				
jyrkänne		J	48	
jyrkänparras				
jyrkästi			99	
jyrrätä			73	
jyrsijä			12	
jyrsin			33	
jyrsinkone				
jyrsinterä				
jyrsinturve				
jyrsintä		J	9	
jyrsiä			61	
jyry			1	
jyrytä			75	
jyryyttää		C	53	
jyrä			10	
jyrähdellä		F	67	
jyrähdys			39	
jyrähtely			2	
jyrähtää		F	53	
jyrätä			73	
jyräys	1		39	
jyräys	2		39	
jyräyttää	1	C	53	
jyräyttää	2	C	53	
jyske			48	
jyskinä			12	
jyskiä			61	
jyskytellä		C	67	
jyskyttää		C	53	
jyskytys			39	
jyskyä			52	
jyskähtää		F	53	
jyskää			78	
jysähdellä		F	67	
jysähdys			39	
jysähtää		F	53	
jysäys			39	
jysäyttää		C	53	
jytinä			12	
jytistä			66	
jytistää			53	
jytke			48	
jytkyttää		C	53	
jytkytys			39	
jytkähtää		F	53	
jyty		F	1	
